Ekran_Boyutu,Ekran_Karti,Ekran_Yenileme_Hizi,Hard_Disk_Kapasitesi,Ram,SSD_Kapasitesi,Cozunurluk,Islemci_Nesli,Islemci_Tipi,Isletim_Sistemi,url,price,marka
15.6,AMD Radeon Vega 3,60.0,0.0,8.0,512.0,1920 x 1080,7.0,AMD Ryzen 3,Free Dos,https://www.trendyol.com//lenovo/ideapad-15amn7-82vg00gptx-freedos-amd-ryzen-3-7320u-8-ram-512-ssd-p-776155862,9.994,lenovo
15.6,Dahili Ekran Kartı,60.0,0.0,8.0,512.0,1920 x 1080,7.0,AMD Ryzen 5,Free Dos,https://www.trendyol.com//lenovo/ip1-15amn7-amd-ryzen-5-7520u-8gb-512gb-ssd-freedos-15-6-fhd-82vg008ctx-p-740959403,10.499,lenovo
15.6,AMD Radeon Graphics,60.0,0.0,8.0,512.0,1920 x 1080,7.0,AMD Ryzen 5,Windows,https://www.trendyol.com//acer/aspire-3-a315-24p-r1x3-nx-kdeey-003a1-ryzen5-7520u-8gb-512ssd-15-6-fullhd-w11h-tasinabilir-bil-p-774074496?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMTM5ODc1MDkzOTIyMDE5LCJhZFNjb3JlIjowLjA0MDk1ODUwMTM5ODU2MzM4NSwiYWRTY29yZXMiOnsiMSI6MC4wNDA5NTg1MDEzOTg1NjMzODUsIjIiOjAuMDQwOTU4NTAxMzk4NTYzMzg1fSwiY3BjIjoyLjc4MywibWluQ3BjIjowLjAxLCJlQ3BjIjoyLjc2MTQyNjAyMzA4ODIxOCwiYWR2ZXJ0U2xvdCI6NCwib3JkZXIiOjE1LCJhdHRyaWJ1dGVzIjoiIn0=,12.6421,acer
15.6,Intel UHD Graphics,60.0,256.0,4.0,256.0,1920 x 1080,13.0,Intel Core i3,Windows,https://www.trendyol.com//asus/intel-core-i3-1115g4-4gb-ram-256gb-ssd-15-6-fhd-windows-11-gri-laptop-x515ea-bq868w-p-356470217,9.249,asus
13.0,M1 7 Çekirdekli,60.0,256.0,16.0,256.0,2560 x 1600,13.0,Apple M1,Mac Os,https://www.trendyol.com//huawei/matebook-d15-intel-core-i7-1195g7-16gb-512gb-ssd-windows-11-home-15-6-fhd-p-637293446,20.899,huawei
13.0,M1 7 Çekirdekli,60.0,256.0,16.0,256.0,2560 x 1600,13.0,Apple M1,Mac Os,https://www.trendyol.com//msi/thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-708198686,21.995,msi
13.0,M1 7 Çekirdekli,60.0,256.0,16.0,256.0,2560 x 1600,13.0,Apple M1,Mac Os,https://www.trendyol.com//acer/aspire-3-a315-24p-ryzen-5-7520u-8gb-256-gb-win-11-15-6-nx-kdeey-003-notebook-p-705381411?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMTIyODQ3MDIxNjMxODk2NCwiYWRTY29yZSI6MC4wNDAzNDY2NDEwOTM0OTI1MSwiYWRTY29yZXMiOnsiMSI6MC4wNDAzNDY2NDEwOTM0OTI1MSwiMiI6MC4wNDAzNDY2NDEwOTM0OTI1MX0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi43NTMwNjE4MTMwMDgzNDksImFkdmVydFNsb3QiOjUsIm9yZGVyIjoxOSwiYXR0cmlidXRlcyI6IiJ9,12.2751,acer
15.6,Nvidia GeForce RTX 3050 Ti,144.0,0.0,8.0,512.0,1920 x 1080,12.0,Intel Core i5,Free Dos,https://www.trendyol.com//acer/nitro-5-intel-core-i5-12500h-8gb-512gb-ssd-4gb-rtx3050ti-dos-15-6-fhd-gaming-laptop-nh-qfley-004-p-448144711,22.908,acer
14.0,Intel Iris Graphics,60.0,0.0,8.0,512.0,1920 x 1080,11.0,Intel Core i5,Windows,https://www.trendyol.com//huawei/matebook-d14-intel-core-i5-1155g7-8gb-512gb-ssd-14-w11-dizustu-bilgisayar-huawei-turkiye-garanti-p-664355420,15.42,huawei
15.6,Dahili Ekran Kartı,60.0,256.0,8.0,256.0,1920 x 1080,13.0,Intel Core i3,Free Dos,https://www.trendyol.com//lenovo/ideapad-3-15itl6-intel-core-i3-1115g4-8-gb-256-gb-ssd-15-6-fhd-fdos-82h803nttx-p-782022798,9.496,lenovo
15.6,Nvidia GeForce RTX 3050,144.0,0.0,16.0,1.0,1920 x 1080,11.0,Intel Core i5,Free Dos,https://www.trendyol.com//asus/tuf-gaming-intel-i5-11400h-16-gb-1-tb-ssd-rtx3050-15-6-fx506hc-hn011-zi705-p-765797606?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMTAyNjk4NjQ4MDEzMTc0NSwiYWRTY29yZSI6MC4wMzk2MjI2NjA3MjYzMDg4MiwiYWRTY29yZXMiOnsiMSI6MC4wMzk2MjI2NjA3MjYzMDg4MiwiMiI6MC4wMzk2MjI2NjA3MjYzMDg4Mn0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi43NTU5OTI0NzY0MzgyNzg2LCJhZHZlcnRTbG90Ijo2LCJvcmRlciI6MjMsImF0dHJpYnV0ZXMiOiIifQ==,27.6192,asus
13.0,M1 7 Çekirdekli,60.0,256.0,16.0,256.0,2560 x 1600,13.0,Apple M1,Mac Os,https://www.trendyol.com//apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-mgn63tu-a-p-68042136,28.599,apple
15.6,Intel UHD Graphics 600,60.0,128.0,4.0,0.0,1366 x 768,13.0,Intel Celeron,Windows,https://www.trendyol.com//lenovo/ideapad-1-celeron-n4120-4gb-ram-128gb-emmc-15-6-win-11-p-382953334,6.8801,lenovo
15.6,Nvidia GeForce RTX 3050,144.0,0.0,16.0,1.0,1920 x 1080,11.0,Intel Core i5,Free Dos,https://www.trendyol.com//acer/nitro-5-an515-57-i5-11400h-16gb-1tb-ssd-rtx3050-dos-15-6-fhd-notebook-nh-qeley-008-16-p-780239795,23.499,acer
15.6,Nvidia GeForce GTX 1650,60.0,0.0,16.0,512.0,1920 x 1080,10.0,Intel Core i5,Free Dos,https://www.trendyol.com//asus/tuf-gaming-intel-core-i5-10300h-16gb-512gb-ssd-gtx1650-freedos-15-6-fx506lhb-hn32304-p-345144526?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMDg0MDczMDUwMjgyODk1NSwiYWRTY29yZSI6MC4wMzg5NTMzOTc0MjMwMjg5NDYsImFkU2NvcmVzIjp7IjEiOjAuMDM4OTUzMzk3NDIzMDI4OTQ2LCIyIjowLjAzODk1MzM5NzQyMzAyODk0Nn0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi42ODgwNzcxMTc3OTgyNTE0LCJhZHZlcnRTbG90Ijo3LCJvcmRlciI6MywiYXR0cmlidXRlcyI6IiJ9,24.7346,asus
16.1,Nvidia GeForce RTX 3050 Ti,144.0,0.0,16.0,512.0,1920 x 1080,6.0,AMD Ryzen 5,Free Dos,https://www.trendyol.com//hp/victus-16-e1014nt-amd-ryzen-5-6600h-16gb-512gb-rtx3050ti-16-1-fhd-144hz-dos-79y91ea-p-752671808,25.6263,hp
15.6,Nvidia GeForce RTX 2050,144.0,0.0,8.0,512.0,1920 x 1080,11.0,Intel Core i5,Free Dos,https://www.trendyol.com//msi/gf63-thin-11ucx-1623xtr-intel-core-i5-11400h-8gb-512gb-ssd-rtx2050-freedos-15-6-fhd-144hz-p-766710492,21.999,msi
15.6,M1 7 Çekirdekli,60.0,0.0,16.0,256.0,2560 x 1600,13.0,Apple M1,Mac Os,https://www.trendyol.com//lenovo/ideapad-slim3-amd-ryzen-5-7320u-8gb-256gb-dos-15-6-arctic-grey-laptop-lenovo-turkiye-garantili-p-744554284,10.45,lenovo
