ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,BaÄŸlantÄ±lar (Ä°kincil),Bağlantılar,Bağlantılar (İkincil),Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Intel Iris Graphics,DDR,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,8 GB,DDR4,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//asus/x515ea-bq867-i5-1135g7-8gb-ram-256gb-ssd-15-6-inc-fhd-freedos-p-686326291,12.799 TL
,16 GB,,,HDMI - USB,,,2 - 4 kg,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/inspiron-3520-intel-core-i5-1135g7-8gb-512gb-ssd-ubuntu-15-6-fhd-120hz-tasinabilir-bilgisayar-p-777710981,12.869 TL
,16 GB,,,Bluetooth,,,Belirtilmemiş,Yok,"13,3 inç",,,,,Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,Yok,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,8 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Yok,Apple M1,8,Mac Os,,https://www.trendyol.com//apple/macbook-pro-13-m1-8gb-256gb-ssd-uzay-grisi-dizustu-bilgisayar-apple-turkiye-garantili-p-75753347,36.399 TL
,16 GB,,,USB,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,,Oyun,,,,,,Yok,IPS,,,8 GB,DDR5,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//lenovo/loq-12-nesil-core-i5-12450h-rtx3050-6gb-8gb-512gb-ssd-15-6-w11-p-779236201,27.449 TL
,16 GB,,,Bluetooth,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,165 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,IPS,,,16 GB,DDR6,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,11390H,11. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i7-11390h-16gb-512gb-ssd-rtx-3050ti-freedos-15-6-fhd-p-266431996,28.599 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Oyun,,,,,,Yok,IPS,,,8 GB,DDR4,Gri,500 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,11390H,11. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-139h-8v00x-g-f-intel-core-i7-11390h-8-gb-ram-500gb-nvme-ssd-gen4-freedos-p-773800488,16.999 TL
,16 GB,,,HDMI,,,2 kg ve Altı,Var,14 inç,,,,,Intel HD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Dell Türkiye Garantili,,,1 TB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,8 GB,DDR4,Siyah,SSD Yok,,,,Belirtilmemiş,,,,,,,,,1366 x 768,HD Ready (HD),,1115G4,11. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//dell/vostro-3400-i3-1115g4-8gb-1tb-ubuntu-14-n4001vn3400emea01u-8-p-380455082,9.399 TL
,16 GB,,,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,Belirtilmemiş,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,2.8,,,,Yok,TN,,,4 GB,LPDDR4,Metalik,120 GB,,,,1.1,,,,,,,,,1366 x 768,HD Ready (HD),,N4020,Belirtilmemiş,Intel Celeron,2,Windows,,https://www.trendyol.com//casper/nirvana-celeron-n4020-4gb-120gb-ssd-15-6inc-w11-p-370988125,7.999 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,4.7,,,,Yok,IPS,,,16 GB,DDR5,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp03016-ryzen-7-7735hs-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-p-780567982,31.899 TL
,128 GB,,,Bluetooth,Micro USB - DVI-D,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,4.7,,,,DVD Okuyucu,IPS,,,32 GB,DDR4,Gri,2 TB,Gen 4,AM5,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//casper/g870-1265-dxb0x-b-intel-core-i7-12650h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-freedos-p-672155829,41.799 TL
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//casper/excalibur-g770-1245-bvj0x-b-intel-core-i5-12450h-16gb-ram-500gb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975657,27.399 TL
,16 GB,USB,,HDMI,,2 kg ve AltÄ±,Belirtilmemiş,Yok,16 inÃ§,Intel HD Graphics,DDR4,PaylaÅŸÄ±mlÄ±,Dahili,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,300 Hz,Belirtilmemiş,,2 YÄ±l,2 Yıl,Resmi DistribÃ¼tÃ¶r Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e,Ofis - Ä°ÅŸ,Ev - Okul,,,,,Yok,Yok,,16 GB,DDR4,16 GB,Belirtilmemiş,Gri,512 GB,,,,Belirtilmemiş,1920 x 1200,Full HD (FHD),12500H,12. Nesil,Intel Core i5,4,Windows,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//huawei/matebook-d16-intel-core-i5-12450h-16gb-512gb-ssd-windows11-home-laptop-huawei-tr-garantili-p-320165197,24.999 TL
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//hp/victus-laptop-16-r0057nt-i5-13500h-16gb-ram-1tb-ssd-6gb-rtx-3050-16-1-fhd-freedos-mavi-7p6d2ea-p-745988566,28.999 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,Full HD,,,32 GB,DDR4,Gri,2 TB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1255U,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/nirvana-c550-1255-dx00x-g-f-intel-core-i7-1255u-32gb-ram-2tb-nvme-ssd-gen4-freedos-p-740918766,20.999 TL
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//monster/abra-a7-v14-6-2-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736035793,43.699 TL
,32 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,,120 Hz,,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,Yok,VA,,,16 GB,DDR5,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//dell/intel-i7-13650hx-16gb-512gb-ssd-rtx-3050-6gb-gddr6-15-6-fhd-120hz-ubuntu-tasinabilir-bilgisayar-p-755301420,34.999 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Var,16 inç,,,,,Intel XE Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,16 GB,DDR4,Gri,1 TB,,,,Belirtilmemiş,,,,,,,,,2560 x 1664,Dokunmatik,,13900H,13. Nesil,Intel Core i9,Belirtilmemiş,Windows,,https://www.trendyol.com//huawei/matebook-16s-i9-13900h-16-gb-1-tb-ssd-16-w11-dizustu-bilgisayar-p-779075650,37.989 TL
,32 GB,,,HDMI,,,2 - 4 kg,Yok,16 inç,,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,165 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,,Oyun,,4.9,,,,Yok,IPS,,,16 GB,DDR5,Siyah,512 GB,,,,2.6,,,,,,,,,1920 x 1200,WUXGA,,13650HX,13. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g16-g614ju-n3195-intel-i7-13650hx-16gb-ddr5-512gb-ssd-6gb-rtx4050-16-wuxga-165hz-dos-p-661623406,42.399 TL
,16 GB,,,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,120 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,512 GB,Q Türkçe,,Ofis - İş,,4.4,,,,Yok,IPS,,,16 GB,DDR4,Gümüş,512 GB,,,,1.3,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,4-6 Saat,https://www.trendyol.com//monster/huma-h5-v4-1-intel-core-i5-1235u-16gb-ram-512gb-ssd-freedos-15-6-fhd-p-458191435,19.249 TL
,16 GB,,,USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,4.2,,,,Yok,IPS,,,8 GB,DDR4,Siyah,512 GB,,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/extensa-ex215-54-corei5-1135g7-8gb-512gb-ssd-freedos-15-6-fhd-notebook-nx-egjey-005-p-343207843,12.499 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,IPS,,,16 GB,DDR5,Siyah,1 TB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//msi/katana-17-b12vek-083xtr-i7-12650h-16gb-ddr5-1tb-ssd-6gb-rtx4050-17-3-fhd-144hz-freedos-gaming-p-648488439,46.499 TL
,16 GB,,,HDMI,,,2 kg ve Altı,Yok,14 inç,,,,,Intel UHD Graphics 600,DDR4,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,4 GB,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,4 GB,DDR4,Gümüş,128 GB,,,,Belirtilmemiş,,,,,,,,,1366 x 768,HD Ready (HD),,N4020,Belirtilmemiş,Intel Celeron,2,Free Dos,,https://www.trendyol.com//lenovo/ideapad-intel-celeron-n4020-4gb-128gb-ssd-14-hd-dos-dizustu-bilgisayar-81vu006stx-p-367015572,8.333 TL
,8 GB,,,Wi-Fi,Micro USB - VGA,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.5,,,,Yok,IPS,,,8 GB,DDR4,Gümüş,256 GB,Gen 3,AM5,,4,,,,,,,,,1920 x 1080,Full HD (FHD),,11500,11. Nesil,Intel Core i3,4,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/aspire-3-a315-58-34g6-dizustu-bilgisayar-i3-1115g4-8gb-ram-256gb-ssd-15-6-freedos-p-782254711,9.699 TL
,16 GB,,,USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,60 Hz,,,3 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Gümüş,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//hp/elitebook-650-g9-6s728ea-i5-1235u-8gb-512gb-ssd-mx570-2gb-dos-15-6-dos-p-783932641,"24.322,50 TL"
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//hp/victus-16-e1004nt-amd-ryzen-7-6800h-16gb-512gb-rtx3050ti-16-1-fhd-144-hz-dos-68s20ea-p-329146480,"28.264,66 TL"
,64 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,90 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q İngilizce,,Ofis - İş,,5.0,,,,Yok,IPS,,,16 GB,DDR5,Gri,512 GB,Gen 3,,,2.9,,,,,,,,,1920 x 1080,Full HD (FHD),,11390H,11. Nesil,Intel Core i7,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//xiaomi/redmibook-15e-2023-p-783324152,29.999 TL
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,8 GB,LPDDR5,Siyah,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,,https://www.trendyol.com//hp/15-fc0003nt-amd-ryzen-3-7320u-8-gb-256-gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-7p6e7ea-p-649568573,10.150 TL
,16 GB,,,HDMI,,,2 kg ve Altı,Var,"13,3 inç",,,,,Intel Iris Graphics,DDR4,4 GB,Dahili,,60 Hz,,,2 Yıl,İthalatçı Garantili,,,HDD Yok,,Q İngilizce,,Ofis - İş,,,,,,Yok,,,,8 GB,LPDDR4X,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,12,Windows,,https://www.trendyol.com//samsung/galaxy-book2-360-13-3-intel-12th-gen-core-i5-evo-platform-8gb-bellek-256gb-ssd-grafit-p-378503749,39.900 TL
,16 GB,,,Bluetooth,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q İngilizce,,Oyun,,4.5,,,,Yok,IPS,,,8 GB,DDR5,Siyah,512 GB,,,,3.3,,,,,,,,,1920 x 1080,Full HD (FHD),,6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-46-amd-ryzen-5-6600h-8-gb-512-gb-ssd-rtx3050-dos-15-6-fhd-notebook-nh-qgxey-001-p-307924183,23.499 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ev - Okul,,4.5,,,,Yok,IPS,,,8 GB,DDR4,Gri,512 GB,,,,2.5,,,,,,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-3-82h803p0tx-i5-1155g7-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-p-762237725,14.299 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,Yok,,,,16 GB,DDR4,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-1-15alc7-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-fhd-bilgisayar-82r4006ftr16-p-783322463,13.099 TL
,16 GB,,,Bluetooth - HDMI,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Dahili,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,IPS,,,16 GB,DDR5,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,7640HS,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-s0035nt-ryzen-5-7640hs-16gb-ram-rtx-4060-512gb-ssd-16-1-inc-fhd-144hz-freedos-7z5z2ea-p-742301709,32.999 TL
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,Yok,,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,11300H,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//hp/pavilion-15-dk2063nt-54t19ea-i5-11300h-16gb-512ssd-rtx3050ti-15-6-fullhd-w11h-tasinabilir-bilgis-p-338543376,27.499 TL
,16 GB,,,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Samsung TR Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,8 GB,DDR4,Siyah,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//lenovo/thinkpad-e15-g4-i5-1235u-8-gb-256-gb-ssd-fhd-15-6-freedos-21e6006rtx-p-467328207,22.199 TL
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,"14,1 inç",,,,,Belirtilmemiş,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,4 GB,Belirtilmemiş,Çok Renkli,128 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,Belirtilmemiş,Intel Celeron,Belirtilmemiş,Windows,,https://www.trendyol.com//hometech/alfa-620c-intel-celeron-n4020-14-1-4-gb-ram-128-gb-ssd-tn-windows-11-tasinabilir-bilgisaya-p-675625257,5.999 TL
,16 GB,,,HDMI - USB,,,2 kg ve Altı,Yok,14 inç,,,,,Intel HD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Dell Türkiye Garantili,,,1 TB,,Q Türkçe (Aydınlatmalı),,Ev - Okul,,,,,,Yok,,,,4 GB,DDR4,Siyah,SSD Yok,,,,Belirtilmemiş,,,,,,,,,1366 x 768,HD Ready (HD),,1115G4,11. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//dell/vostro-3400-intel-core-i3-1115g4-4gb-1tb-hdd-ubuntu-14-hd-tasinabilir-bilgisayar-p-748043848,8.274 TL
,16 GB,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,4.7,,,,Yok,IPS,,,40 GB,DDR4,Gri,2 TB,,,,1.7,,,,,,,,,1920 x 1080,Full HD (FHD),,1255U,12. Nesil,Intel Core i7,10,Windows,4-6 Saat,https://www.trendyol.com//asus/vivobook-15-x1504za-intel-core-i7-1255u-40gb-2tb-ssd-windows-11-pro-15-6-fhd-p-780604699,44.999 TL
,32 GB,,,Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,165 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,Yok,TN,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,i5-11320H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//acer/intel-core-i5-11400h-16gb-ram-512gb-ssd-rtx3050ti-freedos-17-3-fhd-oyuncu-dizustu-bilgisayar-p-767449933,25.695 TL
,16 GB,,,HDMI - USB,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,Yok,IPS,,,32 GB,DDR5,Siyah,1 TB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0064nt-8b5y1ea-i7-13700h-32gb-1tb-rtx4060-8gb-16-1inc-144hz-fhd-freedos-gaming-laptop-p-772538683,43.699 TL
