ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,BaÄŸlantÄ±lar (Ä°kincil),Bağlantılar,Bağlantılar (İkincil),Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,16 GB,,,Bluetooth - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,Yok,VA,,,16 GB,DDR4,Siyah,1 TB,,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//hp/250-g8-i5-1135g7-16gb-1tb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-853u7es6-p-767511636,12.899 TL
,16 GB,,,HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,165 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,,Oyun,,,,,,Yok,,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,11320H,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82k101eltx03-i5-11320h-16gb-512ssd-rtx3050-15-6-fullhd-w11h-tasinabilir-bil-p-463450186?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMjM3MDE1OTIwNTA0OTI3NiwiYWRTY29yZSI6MC4wNDQ0NDkwMDkwMDEyNTUwMzUsImFkU2NvcmVzIjp7IjEiOjAuMDQ0NDQ5MDA5MDAxMjU1MDM1LCIyIjowLjA0NDQ0OTAwOTAwMTI1NTAzNX0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi41ODQ0NTU2MDc0ODk0NDE2LCJhZHZlcnRTbG90IjozLCJvcmRlciI6MTEsImF0dHJpYnV0ZXMiOiIifQ==,"26.531,01 TL"
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//acer/aspire3-amd-ryzen-5-7520u-8gb-512gb-ssd-15-6-fhd-windows-11-dizustu-bilgisayar-acer-tr-garantili-p-752965828,10.799 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon Vega 3,DDR3,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.1,,,,Yok,TN,,,8 GB,LPDDR5,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,4-6 Saat,https://www.trendyol.com//lenovo/ideapad-15amn7-82vg00gptx-freedos-amd-ryzen-3-7320u-8-ram-512-ssd-p-776155862,9.994 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Oyun,,,,,,Yok,Full HD,,,8 GB,LPDDR5,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,7. Nesil,AMD Ryzen 5,4,Free Dos,,https://www.trendyol.com//lenovo/ip1-15amn7-amd-ryzen-5-7520u-8gb-512gb-ssd-freedos-15-6-fhd-82vg008ctx-p-740959403,10.499 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,Yok,,,,8 GB,DDR5,Gümüş,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,7520U,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//acer/aspire-3-a315-24p-r1x3-nx-kdeey-003a1-ryzen5-7520u-8gb-512ssd-15-6-fullhd-w11h-tasinabilir-bil-p-774074496?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMTM5ODc1MDkzOTIyMDE5LCJhZFNjb3JlIjowLjA0MDk1ODUwMTM5ODU2MzM4NSwiYWRTY29yZXMiOnsiMSI6MC4wNDA5NTg1MDEzOTg1NjMzODUsIjIiOjAuMDQwOTU4NTAxMzk4NTYzMzg1fSwiY3BjIjoyLjc4MywibWluQ3BjIjowLjAxLCJlQ3BjIjoyLjc2MTQyNjAyMzA4ODIxOCwiYWR2ZXJ0U2xvdCI6NCwib3JkZXIiOjE1LCJhdHRyaWJ1dGVzIjoiIn0=,"12.642,31 TL"
,16 GB,,,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,4 GB,DDR4,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,1115G4,Belirtilmemiş,Intel Core i3,2,Windows,,https://www.trendyol.com//asus/intel-core-i3-1115g4-4gb-ram-256gb-ssd-15-6-fhd-windows-11-gri-laptop-x515ea-bq868w-p-356470217,9.249 TL
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//huawei/matebook-d15-intel-core-i7-1195g7-16gb-512gb-ssd-windows-11-home-15-6-fhd-p-637293446,20.899 TL
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//msi/thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-708198686,21.995 TL
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//acer/aspire-3-a315-24p-ryzen-5-7520u-8gb-256-gb-win-11-15-6-nx-kdeey-003-notebook-p-705381411?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xMTIyODQ3MDIxNjMxODk2NCwiYWRTY29yZSI6MC4wNDAzNDY2NDEwOTM0OTI1MSwiYWRTY29yZXMiOnsiMSI6MC4wNDAzNDY2NDEwOTM0OTI1MSwiMiI6MC4wNDAzNDY2NDEwOTM0OTI1MX0sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi43NTMwNjE4MTMwMDgzNDksImFkdmVydFNsb3QiOjUsIm9yZGVyIjoxOSwiYXR0cmlidXRlcyI6IiJ9,"12.275,01 TL"
