marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,Cozunurluk,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
microsoft,Windows,Intel Core i5,12.0,2880 x 1800,128.0,8.0,0.0,120.0,Intel Iris Graphics,13.0,39.005
lenovo,Windows,Intel Core i5,12.0,1920 x 1080,256.0,8.0,256.0,60.0,Intel UHD Graphics,15.6,15.999
lenovo,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,11.099
casper,Free Dos,Intel Core i5,12.0,1920 x 1080,1.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,15.799
everest,Free Dos,Intel Core i5,11.0,1920 x 1080,128.0,4.0,0.0,60.0,Intel Iris Graphics,15.6,9.4041
hp,Free Dos,Intel Core i5,13.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,26.999
asus,Windows,Intel Core i5,12.0,2560 x 1600,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,14.0,25.999
lenovo,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,512.0,60.0,Intel UHD Graphics,15.6,15.999
lenovo,Windows,Intel Core i5,10.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce MX330,15.6,15.625
monster,Free Dos,Intel Core i5,12.0,1920 x 1080,1.0,32.0,0.0,60.0,Intel Iris Graphics,14.1,23.499
hp,Windows,Intel Core i7,13.0,2560 x 1600,1.0,32.0,0.0,60.0,Intel XE Graphics,14.0,60.562
hp,Windows,AMD Ryzen 7,5.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD Radeon Vega 8,15.6,13.999
hp,Free Dos,AMD Ryzen 5,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,10.0799
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,1.0,32.0,0.0,60.0,AMD Radeon Graphics,15.6,12.9999
acer,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,22.999
apple,Mac Os,M2,13.0,2560 x 1600,256.0,16.0,0.0,60.0,M2 8 Çekirdekli,13.6,46.96
acer,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,22.07
apple,Mac Os,Apple M2,1.0,2560 x 1600,256.0,8.0,250.0,120.0,M2 8 Çekirdekli,13.6,35.999
lenovo,Free Dos,AMD Ryzen 7,5.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,13.995
msi,Free Dos,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,15.6,42.999
monster,Free Dos,Intel Core i9,13.0,2560 x 1600,2.0,64.0,0.0,240.0,Nvidia GeForce RTX 4090,17.0,138.999
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce MX450,15.6,16.499
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,12.799
dell,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,12.869
apple,Mac Os,Apple M1,13.0,2560 x 1600,256.0,8.0,0.0,60.0,Dahili Ekran Kartı,13.3,36.399
lenovo,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,500.0,144.0,Nvidia GeForce RTX 3050,15.6,27.449
lenovo,Free Dos,Intel Core i7,11.0,1920 x 1080,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 3050,15.6,28.599
casper,Free Dos,Intel Core i7,11.0,1920 x 1080,500.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,16.999
dell,Free Dos,Intel Core i3,11.0,1366 x 768,0.0,8.0,1.0,60.0,Intel HD Graphics,14.0,9.399
casper,Windows,Intel Celeron,13.0,1366 x 768,120.0,4.0,0.0,60.0,Intel UHD Graphics 600,15.6,7.999
asus,Free Dos,AMD Ryzen 7,7.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,31.899
casper,Free Dos,Intel Core i7,12.0,1920 x 1080,2.0,32.0,0.0,144.0,Nvidia GeForce RTX 4060,15.6,41.799
casper,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,27.399
huawei,Mac Os,Apple M1,13.0,2560 x 1600,512.0,16.0,0.0,60.0,M1 7 Çekirdekli,16.0,24.999
hp,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,28.999
casper,Free Dos,Intel Core i7,12.0,1920 x 1080,2.0,32.0,0.0,60.0,Dahili Ekran Kartı,15.6,20.999
monster,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,43.699
dell,Free Dos,Intel Core i7,13.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050,15.6,34.999
huawei,Windows,Intel Core i9,13.0,2560 x 1664,1.0,16.0,0.0,60.0,Intel XE Graphics,16.0,37.989
asus,Free Dos,Intel Core i7,13.0,1920 x 1200,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 4050,16.0,42.399
monster,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,120.0,Intel Iris Graphics,15.6,19.249
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,12.499
msi,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,17.3,46.499
lenovo,Free Dos,Intel Celeron,13.0,1366 x 768,128.0,4.0,0.0,60.0,Intel UHD Graphics 600,14.0,8.333
acer,Free Dos,Intel Core i3,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,9.699
hp,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,24.322
hp,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,28.2646
xiaomi,Windows,Intel Core i7,11.0,1920 x 1080,512.0,16.0,0.0,90.0,Intel XE Graphics,15.6,29.999
hp,Free Dos,AMD Ryzen 3,7.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,10.15
samsung,Windows,Intel Core i5,12.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel Iris Graphics,13.3,39.9
acer,Free Dos,AMD Ryzen 5,6.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,23.499
lenovo,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel XE Graphics,15.6,14.299
lenovo,Free Dos,AMD Ryzen 7,5.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,13.099
hp,Free Dos,AMD Ryzen 5,7.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,16.1,32.999
hp,Windows,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,15.6,27.499
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,22.199
hometech,Windows,Intel Celeron,13.0,1920 x 1080,128.0,4.0,0.0,60.0,Belirtilmemiş,14.1,5.999
dell,Free Dos,Intel Core i3,11.0,1366 x 768,0.0,4.0,1.0,60.0,Intel HD Graphics,14.0,8.274
asus,Windows,Intel Core i7,12.0,1920 x 1080,2.0,40.0,0.0,60.0,Intel UHD Graphics,15.6,44.999
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 3050 Ti,17.3,25.695
hp,Free Dos,Intel Core i7,13.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 4060,16.1,43.699
acer,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,15.6,26.299
msi,Windows,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,31.6799
monster,Free Dos,Intel Core i5,13.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 4050,17.3,36.3693
dell,Linux,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,60.0,Intel Iris Graphics,15.6,22.6278
lenovo,Windows,AMD Ryzen 7,5.0,1920 x 1200,512.0,16.0,512.0,60.0,AMD Radeon R3,16.0,25.595
hp,Free Dos,Intel Core i5,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,10.89
monster,Windows,Intel Core i7,13.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 4050,17.3,42.999
asus,Windows,Intel Celeron,4.0,1920 x 1080,128.0,4.0,0.0,60.0,Intel UHD Graphics,14.0,6.91
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050 Ti,15.6,25.999
asus,Windows,Intel Core i9,13.0,2880 x 1800,2.0,32.0,0.0,120.0,Nvidia GeForce RTX 4060,14.5,168.2991
everest,Free Dos,Intel Core i5,11.0,1920 x 1080,500.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,10.6911
acer,Windows,Intel Celeron,13.0,1920 x 1080,128.0,4.0,0.0,60.0,Intel UHD Graphics,15.6,7.389
asus,Mac Os,Apple M1,13.0,2560 x 1600,512.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,27.599
asus,Free Dos,Intel Celeron,5.0,1366 x 768,1.0,16.0,0.0,60.0,Intel UHD Graphics 600,15.6,13.7101
acer,Windows,Intel Core i5,11.0,1920 x 1080,0.0,8.0,512.0,60.0,Nvidia GeForce MX450,15.6,15.999
asus,Free Dos,AMD Ryzen 7,7.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,30.999
monster,Free Dos,Intel Core i7,13.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,17.3,35.799
casper,Free Dos,Intel Core i7,13.0,2560 x 1600,1.0,32.0,0.0,165.0,Nvidia GeForce RTX 4060,16.0,47.799
asus,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,9.899
asus,Windows,Intel Core i5,10.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce GTX 1650,15.6,26.1351
asus,Free Dos,Intel Core i7,13.0,1920 x 1200,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 4060,16.0,51.4052
casper,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,500.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,11.5151
huawei,Windows,Intel Core i3,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,19.999
msi,Free Dos,Intel Core i7,12.0,1920 x 1080,512.0,16.0,500.0,144.0,Nvidia GeForce RTX 4050,15.6,40.67
msi,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX3060,17.3,39.999
asus,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,13.299
asus,Free Dos,Intel Core i5,12.0,1920 x 1080,256.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,13.999
lenovo,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,256.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,14.49
casper,Free Dos,Intel Core i5,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,26.299
msi,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,25.499
asus,Windows,AMD Ryzen 7,7.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 4060,15.6,37.925
asus,Free Dos,AMD Ryzen 7,13.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,31.999
hp,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,28.299
technopc,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,6.59
acer,Free Dos,AMD Ryzen 5,7.0,1920 x 1200,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 4050,16.0,36.999
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,1.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050 Ti,15.6,26.499
msi,Free Dos,AMD Ryzen 5,13.0,1920 x 1080,512.0,8.0,0.0,60.0,Paylaşımlı,14.0,22.499
acer,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,11.849
asus,Windows,Intel Celeron,13.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel UHD Graphics 600,14.0,8.8101
asus,Free Dos,Intel Core i9,13.0,2560 x 1600,2.0,64.0,0.0,240.0,Nvidia GeForce RTX 4090,18.0,172.8296
asus,Free Dos,AMD Ryzen 7,3.0,1920 x 1080,512.0,24.0,0.0,60.0,AMD Radeon Graphics,15.6,15.0
lenovo,Free Dos,AMD Ryzen 7,5.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,11.9499
acer,Free Dos,Intel Core i5,12.0,1920 x 1080,256.0,8.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,21.999
toshiba,Free Dos,Intel Core i3,10.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel HD Graphics 620,14.0,14.3
hp,Free Dos,AMD Ryzen 7,7.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,16.1,28.999
asus,Free Dos,Intel Core i5,12.0,1920 x 1080,256.0,16.0,0.0,60.0,Intel UHD Graphics,15.6,14.799
asus,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,16.999
asus,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce RTX 2050,15.6,24.949
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050,15.6,24.999
lenovo,Free Dos,Intel Core i7,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,17.979
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,1.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,24.9988
asus,Free Dos,Intel Celeron,5.0,1366 x 768,256.0,8.0,0.0,60.0,Intel UHD Graphics 600,15.6,9.4531
asus,Windows,Intel Core i3,10.0,1920 x 1080,256.0,4.0,0.0,60.0,Intel UHD Graphics,15.6,9.499
asus,Free Dos,Intel Core i5,10.0,1920 x 1080,512.0,16.0,0.0,60.0,Nvidia GeForce GTX 1650,15.6,24.7346
asus,Windows,Intel Core i9,12.0,1920 x 1200,1.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050 Ti,13.4,40.8959
asus,Free Dos,Intel Celeron,13.0,1920 x 1080,128.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,8.099
lenovo,Free Dos,Intel Core i5,11.0,1920 x 1080,256.0,8.0,0.0,144.0,Intel Iris Graphics,15.6,12.629
lenovo,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,8.999
lenovo,Free Dos,Intel Core i5,11.0,1366 x 768,512.0,16.0,0.0,60.0,Nvidia GeForce MX330,14.0,13.773
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,16.099
lenovo,Free Dos,AMD Ryzen 7,5.0,2880 x 1800,1.0,16.0,1.0,90.0,AMD Radeon R7,14.0,35.999
dell,Free Dos,Intel Core i7,13.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 3050,15.6,35.999
acer,Free Dos,AMD Ryzen 3,7.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,9.299
lenovo,Windows,Intel Core i9,12.0,3840 x 2400,1.0,32.0,0.0,60.0,Belirtilmemiş,16.0,187.349
hp,Windows,Intel Core i7,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce MX450,14.0,34.999
acer,Windows,Intel Celeron,13.0,1920 x 1080,128.0,4.0,0.0,60.0,Dahili Ekran Kartı,15.6,8.9
asus,Windows,Ryzen Z1 Extreme,13.0,1920 x 1080,512.0,16.0,500.0,120.0,AMD Radeon Graphics,7.0,32.987
hp,Free Dos,AMD Ryzen 5,7.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,16.1,29.999
everest,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,11.4331
lenovo,Windows,Intel Core i7,13.0,1920 x 1200,1.0,16.0,0.0,60.0,Dahili Ekran Kartı,16.0,53.19
asus,Windows,Intel Celeron,4.0,1920 x 1080,128.0,12.0,0.0,60.0,Intel UHD Graphics,15.6,8.549
lenovo,Free Dos,AMD E,10.0,1920 x 1080,0.0,8.0,1.0,60.0,Dahili Ekran Kartı,15.6,15.555
lenovo,Free Dos,Intel Celeron,13.0,1920 x 1080,256.0,4.0,256.0,60.0,Intel UHD Graphics 600,14.0,9.499
lenovo,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,14.999
casper,Windows,Intel Core i5,11.0,1920 x 1080,500.0,8.0,0.0,60.0,Intel XE Graphics,15.6,14.699
lenovo,Free Dos,Intel Core i3,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Paylaşımlı,15.6,10.4999
lenovo,Windows,MediaTek P60T,5.0,4480 x 2520,32.0,36.0,500.0,90.0,Nvidia GeForce MX450,18.0,9.074
msi,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,24.599
dell,Windows,AMD Ryzen 5,5.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,16.0
lenovo,Free Dos,AMD Ryzen 5,7.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX 4050,15.6,27.599
asus,Windows,Intel Celeron,13.0,1920 x 1080,128.0,8.0,0.0,60.0,Intel UHD Graphics,14.0,9.499
dell,Linux,Intel Core i7,13.0,2560 x 1600,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 4060,16.0,45.499
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,165.0,Nvidia GeForce RTX3060,15.6,27.999
asus,Windows 11,Intel Core i5,11.0,1920 x 1080,256.0,8.0,256.0,60.0,Dahili Ekran Kartı,14.0,17.0
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel Iris Graphics,14.0,16.5
asus,Windows 11,Intel Core i5,11.0,1920 x 1080,256.0,8.0,256.0,60.0,Intel UHD Graphics,15.6,14.999
lenovo,Free Dos,Intel Core i7,11.0,2560 x 1440,512.0,32.0,0.0,60.0,Nvidia GeForce RTX3060,15.6,37.999
monster,Free Dos,Intel Core i7,11.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,15.6,29.399
monster,Windows,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 4060,17.3,47.249
apple,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,54.999
huawei,Windows,Intel Core i3,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel UHD Graphics,14.0,13.899
lenovo,Free Dos,AMD Athlon,13.0,1366 x 768,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,8.889
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce RTX3060,15.6,27.299
acer,Windows,Intel Core i7,11.0,1920 x 1080,512.0,16.0,512.0,60.0,Nvidia GeForce MX330,14.0,18.999
apple,Mac Os,M2,13.0,2560 x 1600,256.0,16.0,0.0,60.0,M2 8 Çekirdekli,13.0,43.99
huawei,Free Dos,Intel Atom,1.0,1280 x 800,120.0,1.0,0.0,60.0,AMD Radeon R5,10.0,56.5343
casper,Mac Os,Apple M1,13.0,2560 x 1600,500.0,16.0,256.0,60.0,M1 7 Çekirdekli,15.6,14.5
lenovo,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,512.0,120.0,Intel Iris Graphics,15.6,14.619
lenovo,Free Dos,AMD Ryzen 7,6.0,2560 x 1600,1.0,32.0,0.0,165.0,Nvidia GeForce RTX 3070,16.0,46.999
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,256.0,4.0,0.0,60.0,AMD Radeon Graphics,15.6,9.699
lenovo,Windows,Intel Core i5,10.0,1920 x 1200,512.0,8.0,512.0,90.0,Intel XE Graphics,14.0,25.999
casper,Windows,Intel Core i5,11.0,1920 x 1080,500.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,13.79
casper,Free Dos,Intel Core i5,12.0,1920 x 1080,500.0,16.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,24.8714
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,512.0,60.0,Intel UHD Graphics,14.0,14.249
msi,Windows,Intel Core i5,12.0,1920 x 1080,512.0,16.0,500.0,144.0,Nvidia GeForce RTX 3050,15.6,28.899
samsung,Free Dos,Intel Core i5,11.0,1920 x 1080,256.0,8.0,256.0,60.0,Intel Iris Pro Graphics,15.6,21.499
acer,Windows,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,14.999
apple,Mac Os,Apple M2 Pro,13.0,3024 x 1964,512.0,16.0,0.0,120.0,M2 Pro 19 Çekirdekli,14.0,74.9
casper,Free Dos,Intel Core i7,11.0,1920 x 1080,1.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,16.899
asus,Linux,Intel Celeron,3.0,1366 x 768,0.0,4.0,256.0,60.0,Intel HD Graphics 520,15.6,9.499
lenovo,Windows,Intel Core i5,11.0,1920 x 1080,0.0,8.0,500.0,165.0,Nvidia GeForce RTX 3050,15.6,23.718
casper,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,11.899
hp,Free Dos,AMD Ryzen 7,7.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,16.1,36.999
msi,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce RTX 2050,15.6,24.5
msi,Windows,Intel Core i7,13.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 4060,17.3,59.99
asus,Windows,AMD Ryzen 5,5.0,1920 x 1080,0.0,16.0,512.0,60.0,Radeon Vega 7 Graphics,14.0,29.999
apple,Mac Os,M3,3.0,3024 x 1964,512.0,18.0,0.0,120.0,M3,14.0,78.999
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,60.0,Nvidia GeForce MX450,15.6,22.5
asus,Free Dos,Intel Core i3,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,9.8001
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Nvidia GeForce RTX 3050 Ti,15.6,23.999
lenovo,Free Dos,AMD Ryzen 3,7.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,9.799
asus,Windows,AMD Ryzen 5,5.0,2880 x 1800,0.0,16.0,512.0,60.0,AMD Radeon Graphics,14.0,33.999
lenovo,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,9.249
lenovo,Free Dos,AMD Ryzen 5,7.0,1920 x 1080,512.0,16.0,0.0,60.0,Dahili Ekran Kartı,15.6,12.999
asus,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,31.999
casper,Mac Os,Apple M1,13.0,2560 x 1600,120.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,9.999
asus,Windows,Intel Core i7,11.0,2880 x 1800,2.0,16.0,0.0,120.0,Nvidia GeForce MX450,14.0,49.99
asus,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel UHD Graphics,15.6,16.899
monster,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,120.0,Intel Iris Graphics,15.6,18.299
asus,Windows,MediaTek P60T,5.0,4480 x 2520,32.0,36.0,500.0,90.0,Nvidia GeForce MX450,18.0,9.733
casper,Free Dos,Intel Core i5,11.0,1920 x 1080,500.0,8.0,0.0,60.0,Intel XE Graphics,15.6,12.9428
asus,Windows,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,16.999
asus,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel UHD Graphics,15.6,15.899
lenovo,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,24.149
gigabyte,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,15.6,31.099
asus,Free Dos,AMD Ryzen 9,9.0,1920 x 1080,1.0,16.0,0.0,60.0,Nvidia GeForce RTX 3050,15.6,45.999
asus,Free Dos,Intel Celeron,13.0,1920 x 1080,128.0,16.0,0.0,60.0,Intel UHD Graphics,15.6,8.649
casper,Free Dos,Intel Core i5,12.0,1920 x 1080,500.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,25.099
casper,Free Dos,Intel Core i9,13.0,2560 x 1600,2.0,64.0,0.0,165.0,Nvidia GeForce RTX 4090,16.0,100.999
asus,Free Dos,AMD Ryzen 5,7.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,12.2471
huawei,Windows,Intel Core i9,12.0,2560 x 1600,1.0,16.0,0.0,60.0,Intel Iris Graphics,16.0,39.499
casper,Free Dos,Intel Core i5,12.0,1920 x 1080,500.0,16.0,0.0,144.0,Nvidia GeForce GTX 1650,15.6,23.599
monster,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,120.0,Intel Iris Graphics,15.6,26.499
dell,Free Dos,Intel Core i3,11.0,1366 x 768,256.0,8.0,0.0,60.0,Intel UHD Graphics,14.0,9.07
asus,Windows,Intel Core i9,13.0,2560 x 1600,2.0,64.0,0.0,240.0,Nvidia GeForce RTX 4080,16.0,125.433
msi,Free Dos,Intel Core i9,13.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 4070,17.3,55.5024
apple,Mac Os,Apple M2,2.0,2880 x 1800,256.0,8.0,256.0,120.0,M2 10 Çekirdekli,15.0,44.999
