marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
3,3,10,13.0,500.0,16.0,256.0,60.0,28,15.6,14.5
16,5,20,11.0,512.0,8.0,512.0,120.0,21,15.6,14.619
16,1,8,6.0,1.0,32.0,0.0,165.0,48,16.0,46.999
11,1,7,5.0,256.0,4.0,0.0,60.0,3,15.6,9.699
16,5,20,10.0,512.0,8.0,512.0,90.0,27,14.0,25.999
3,5,20,11.0,500.0,8.0,0.0,60.0,21,15.6,13.79
3,1,20,12.0,500.0,16.0,0.0,144.0,44,15.6,24.8714
16,1,20,12.0,512.0,8.0,512.0,60.0,24,14.0,14.249
19,5,20,12.0,512.0,16.0,500.0,144.0,45,15.6,28.899
20,1,20,11.0,256.0,8.0,256.0,60.0,23,15.6,21.499
0,5,20,11.0,512.0,16.0,0.0,60.0,21,15.6,14.999
1,3,15,13.0,512.0,16.0,0.0,120.0,33,14.0,74.9
3,1,21,11.0,1.0,16.0,0.0,60.0,21,15.6,16.899
2,2,17,3.0,0.0,4.0,256.0,60.0,18,15.6,9.499
16,5,20,11.0,0.0,8.0,500.0,165.0,45,15.6,23.718
3,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,11.899
11,1,8,7.0,1.0,16.0,0.0,144.0,54,16.1,36.999
19,1,20,11.0,512.0,8.0,0.0,60.0,44,15.6,24.5
19,5,21,13.0,1.0,32.0,0.0,144.0,54,17.3,59.99
2,5,7,5.0,0.0,16.0,512.0,60.0,69,14.0,29.999
1,3,28,3.0,512.0,18.0,0.0,120.0,34,14.0,78.999
0,1,20,11.0,512.0,16.0,0.0,60.0,42,15.6,22.5
2,1,19,11.0,256.0,8.0,0.0,60.0,24,15.6,9.8001
16,1,20,12.0,512.0,8.0,0.0,60.0,46,15.6,23.999
16,1,6,7.0,512.0,8.0,0.0,60.0,3,15.6,9.799
2,5,7,5.0,0.0,16.0,512.0,60.0,3,14.0,33.999
16,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,9.249
16,1,7,7.0,512.0,16.0,0.0,60.0,14,15.6,12.999
2,1,21,12.0,1.0,16.0,0.0,144.0,45,15.6,31.999
3,3,10,13.0,120.0,16.0,0.0,60.0,28,15.6,9.999
2,5,21,11.0,2.0,16.0,0.0,120.0,42,14.0,49.99
2,1,20,12.0,512.0,16.0,0.0,60.0,24,15.6,16.899
18,1,20,12.0,512.0,8.0,0.0,120.0,21,15.6,18.299
2,5,29,5.0,32.0,36.0,500.0,90.0,42,18.0,9.733
3,1,20,11.0,500.0,8.0,0.0,60.0,27,15.6,12.9428
2,5,20,12.0,512.0,16.0,0.0,60.0,21,15.6,16.999
2,1,20,12.0,512.0,16.0,0.0,60.0,24,15.6,15.899
16,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,24.149
8,1,20,12.0,512.0,16.0,0.0,144.0,54,15.6,31.099
2,1,9,9.0,1.0,16.0,0.0,60.0,45,15.6,45.999
2,1,17,13.0,128.0,16.0,0.0,60.0,24,15.6,8.649
3,1,20,12.0,500.0,8.0,0.0,144.0,45,15.6,25.099
3,1,22,13.0,2.0,64.0,0.0,165.0,57,16.0,100.999
2,1,7,7.0,512.0,8.0,0.0,60.0,3,15.6,12.2471
13,5,22,12.0,1.0,16.0,0.0,60.0,21,16.0,39.499
3,1,20,12.0,500.0,16.0,0.0,144.0,36,15.6,23.599
18,1,21,12.0,1.0,32.0,0.0,120.0,21,15.6,26.499
4,1,19,11.0,256.0,8.0,0.0,60.0,24,14.0,9.07
2,5,22,13.0,2.0,64.0,0.0,240.0,56,16.0,125.433
19,1,22,13.0,512.0,16.0,0.0,144.0,55,17.3,55.5024
1,3,13,2.0,256.0,8.0,256.0,120.0,30,15.0,44.999
2,1,9,7.0,1.0,16.0,0.0,240.0,55,17.3,65.999
1,3,27,13.0,512.0,8.0,0.0,60.0,31,13.0,44.9
0,1,20,11.0,512.0,8.0,0.0,144.0,36,15.6,23.0
19,1,21,12.0,1.0,32.0,0.0,144.0,58,17.3,42.499
13,3,10,13.0,512.0,16.0,0.0,60.0,28,15.6,19.899
2,5,21,12.0,1.0,16.0,0.0,60.0,24,15.6,30.499
0,2,7,3.0,512.0,8.0,512.0,60.0,14,15.6,10.499
3,1,21,12.0,500.0,16.0,0.0,60.0,21,15.6,18.899
16,1,4,7.0,256.0,8.0,0.0,60.0,3,15.6,9.4467
2,1,8,4.0,512.0,16.0,0.0,144.0,46,15.6,39.1387
1,3,27,2.0,256.0,8.0,512.0,144.0,31,13.0,42.499
16,1,20,12.0,512.0,16.0,512.0,60.0,27,13.3,21.999
11,1,8,5.0,512.0,16.0,0.0,144.0,46,15.6,28.099
4,4,19,11.0,0.0,4.0,1.0,60.0,24,14.0,8.4141
3,1,17,13.0,240.0,4.0,0.0,60.0,25,15.6,8.811
2,1,8,13.0,512.0,16.0,0.0,144.0,54,15.6,44.999
16,1,20,11.0,512.0,16.0,0.0,60.0,41,15.6,18.7074
16,1,20,11.0,512.0,8.0,0.0,120.0,45,15.6,22.899
2,5,20,12.0,512.0,8.0,0.0,60.0,45,16.0,27.309
19,1,22,13.0,512.0,16.0,0.0,144.0,55,15.6,55.399
2,1,20,11.0,256.0,8.0,0.0,60.0,14,15.6,11.799
16,5,19,12.0,256.0,8.0,256.0,60.0,24,15.6,11.65
2,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,7.148
2,1,20,11.0,256.0,16.0,0.0,60.0,14,15.6,12.749
11,1,7,5.0,256.0,16.0,0.0,60.0,3,15.6,10.8999
2,1,21,13.0,512.0,16.0,0.0,165.0,53,16.0,42.999
4,1,18,13.0,256.0,8.0,0.0,60.0,14,15.6,168.3851
2,1,20,11.0,512.0,16.0,0.0,60.0,40,14.0,17.499
2,1,20,5.0,256.0,16.0,0.0,60.0,24,15.6,14.299
16,5,19,10.0,256.0,4.0,0.0,60.0,24,14.0,11.399
19,5,21,12.0,1.0,32.0,0.0,144.0,55,15.6,53.6
2,1,9,7.0,512.0,16.0,0.0,144.0,55,15.6,52.499
1,3,28,3.0,512.0,36.0,0.0,120.0,34,16.0,109.399
4,1,19,11.0,512.0,8.0,0.0,60.0,24,14.0,9.3715
3,1,20,11.0,500.0,8.0,0.0,60.0,21,15.6,14.799
16,5,22,10.0,1.0,16.0,0.0,90.0,57,16.0,159.999
2,5,6,3.0,256.0,12.0,0.0,60.0,3,15.6,9.5521
2,5,17,4.0,128.0,8.0,0.0,60.0,24,15.6,8.199
0,5,20,10.0,1.0,8.0,0.0,90.0,53,15.6,27.999
1,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,44.999
2,1,20,11.0,1.0,16.0,0.0,144.0,45,15.6,27.6192
0,1,20,11.0,512.0,16.0,0.0,144.0,46,17.3,27.6984
2,5,17,10.0,128.0,4.0,0.0,60.0,24,14.0,6.999
16,1,20,11.0,1.0,24.0,2.0,60.0,41,15.6,20.7335
16,1,21,10.0,256.0,4.0,0.0,120.0,51,14.0,16.0
19,1,21,12.0,512.0,16.0,0.0,144.0,53,17.3,48.849
1,3,13,2.0,256.0,8.0,256.0,120.0,30,15.0,51.999
2,1,17,13.0,256.0,16.0,0.0,60.0,24,15.6,9.199
3,1,20,12.0,500.0,16.0,0.0,144.0,54,15.6,33.999
11,1,21,12.0,512.0,8.0,0.0,60.0,43,15.6,19.9
19,5,22,13.0,1.0,32.0,0.0,144.0,55,17.3,73.919
16,5,20,7.0,256.0,8.0,0.0,90.0,21,15.6,13.999
11,1,8,7.0,512.0,8.0,0.0,60.0,14,15.6,14.85
18,5,21,13.0,1.0,32.0,0.0,165.0,55,16.0,65.499
16,5,20,13.0,1.0,16.0,0.0,60.0,27,15.6,17.539
0,5,21,13.0,512.0,16.0,0.0,60.0,21,14.0,33.999
16,1,20,12.0,512.0,16.0,0.0,120.0,45,15.6,24.899
13,1,0,10.0,512.0,8.0,0.0,120.0,3,14.0,38.0
2,5,20,10.0,512.0,8.0,512.0,90.0,27,16.0,15.999
16,1,20,12.0,512.0,16.0,0.0,60.0,13,15.6,22.799
11,1,7,5.0,512.0,32.0,0.0,144.0,10,15.6,24.299
0,5,20,12.0,512.0,16.0,0.0,144.0,53,15.6,29.999
16,1,17,4.0,0.0,4.0,128.0,60.0,24,15.6,7.15
1,3,27,13.0,512.0,8.0,0.0,60.0,13,13.6,42.999
2,5,17,13.0,128.0,4.0,0.0,60.0,65,15.6,9.899
2,1,21,8.0,256.0,8.0,250.0,60.0,14,14.0,18.4797
6,1,20,11.0,512.0,32.0,0.0,60.0,21,15.6,12.5721
11,1,21,13.0,1.0,16.0,0.0,144.0,55,16.1,48.899
19,1,20,12.0,512.0,8.0,0.0,144.0,53,15.6,29.399
3,1,22,13.0,1.0,64.0,0.0,165.0,57,16.0,105.199
1,3,13,13.0,512.0,16.0,0.0,60.0,14,13.3,64.96
3,1,21,12.0,1.0,16.0,0.0,144.0,45,15.6,28.899
16,1,20,11.0,256.0,8.0,0.0,60.0,40,14.0,12.6256
16,1,17,9.0,128.0,4.0,0.0,60.0,25,15.6,6.829
11,1,20,13.0,512.0,16.0,0.0,144.0,53,16.1,30.999
4,5,21,13.0,1.0,16.0,0.0,60.0,44,14.0,34.999
11,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,11.999
2,5,20,11.0,512.0,16.0,0.0,144.0,44,15.6,25.799
2,1,19,11.0,128.0,4.0,128.0,60.0,24,15.6,9.249
3,1,20,12.0,500.0,16.0,0.0,60.0,21,15.6,16.799
0,5,19,10.0,256.0,4.0,256.0,90.0,24,15.6,9.572
2,5,7,4.0,0.0,8.0,256.0,60.0,3,15.6,13.999
4,1,22,13.0,1.0,32.0,0.0,165.0,54,15.6,49.659
2,1,7,5.0,512.0,8.0,0.0,60.0,14,16.0,14.3
18,1,20,12.0,500.0,8.0,0.0,144.0,53,15.6,29.999
4,5,21,13.0,1.0,16.0,0.0,165.0,56,16.0,62.999
2,1,20,12.0,512.0,16.0,0.0,120.0,44,16.0,26.089
13,5,8,5.0,512.0,16.0,512.0,60.0,3,15.6,22.29
4,1,19,11.0,128.0,16.0,0.0,60.0,24,14.0,9.3715
16,5,20,12.0,512.0,8.0,0.0,60.0,21,15.6,14.999
19,1,8,7.0,512.0,16.0,0.0,144.0,54,15.6,39.999
16,5,20,11.0,256.0,16.0,0.0,60.0,21,13.5,42.999
6,1,20,11.0,128.0,4.0,0.0,60.0,21,15.6,9.599
11,1,25,12.0,4.0,16.0,500.0,90.0,60,13.4,18.999
4,2,22,13.0,1.0,32.0,0.0,165.0,55,16.0,61.799
19,5,20,12.0,512.0,8.0,0.0,60.0,21,15.6,20.964
16,1,21,12.0,512.0,16.0,0.0,60.0,21,12.3,34.999
19,1,21,12.0,1.0,16.0,0.0,144.0,58,15.6,39.099
16,1,21,11.0,512.0,32.0,0.0,60.0,42,14.0,39.999
2,1,21,13.0,512.0,8.0,0.0,165.0,54,16.0,51.2698
4,1,21,13.0,512.0,16.0,0.0,165.0,53,15.6,39.199
2,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,33.333
2,3,10,13.0,256.0,16.0,0.0,60.0,28,15.6,13.499
18,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,29.899
0,1,8,7.0,1.0,16.0,0.0,165.0,54,16.0,39.899
19,1,25,13.0,256.0,16.0,0.0,60.0,14,15.6,21.5798
18,1,21,12.0,512.0,16.0,0.0,60.0,21,14.1,22.499
2,1,20,12.0,256.0,8.0,256.0,60.0,27,18.0,14.93
0,1,20,11.0,1.0,8.0,1.0,144.0,45,15.6,20.0123
19,1,7,11.0,512.0,16.0,0.0,60.0,3,14.0,23.25
2,5,19,11.0,128.0,8.0,0.0,60.0,24,15.6,9.899
13,5,29,5.0,32.0,36.0,500.0,90.0,42,18.0,39.499
16,5,20,11.0,512.0,16.0,0.0,165.0,45,15.6,26.5311
11,1,7,5.0,512.0,16.0,0.0,60.0,3,15.6,15.6065
2,1,19,11.0,256.0,4.0,0.0,60.0,24,15.6,9.899
11,1,21,13.0,1.0,16.0,0.0,165.0,54,17.3,50.199
2,5,6,3.0,256.0,8.0,0.0,60.0,3,15.6,9.8491
23,5,20,7.0,0.0,8.0,256.0,60.0,65,13.3,26.785
4,2,21,12.0,512.0,16.0,0.0,60.0,14,15.6,19.759
16,1,8,7.0,512.0,16.0,0.0,60.0,3,15.6,16.55
2,1,22,13.0,1.0,16.0,0.0,240.0,55,18.0,73.399
18,1,21,11.0,500.0,32.0,0.0,144.0,46,15.6,30.699
2,1,20,11.0,512.0,16.0,0.0,60.0,27,13.3,34.999
4,2,20,10.0,512.0,8.0,0.0,60.0,21,16.0,16.999
18,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,22.299
19,1,21,11.0,512.0,8.0,0.0,60.0,45,15.6,33.999
0,5,19,10.0,256.0,4.0,0.0,90.0,24,15.6,8.999
3,1,20,11.0,500.0,32.0,0.0,60.0,14,15.6,16.299
8,1,20,12.0,512.0,8.0,0.0,144.0,53,15.6,28.799
16,1,20,11.0,256.0,8.0,0.0,60.0,41,15.6,17.1651
16,1,8,7.0,512.0,16.0,0.0,90.0,3,13.3,32.999
0,1,8,7.0,1.0,32.0,0.0,165.0,54,16.0,41.899
0,5,20,12.0,1.0,32.0,0.0,144.0,46,15.6,28.8081
2,5,6,13.0,256.0,4.0,0.0,60.0,4,15.6,8.65
2,5,30,13.0,512.0,16.0,500.0,120.0,3,7.0,29.686
17,5,21,12.0,1.0,16.0,0.0,120.0,21,13.0,89.32
0,1,7,7.0,1.0,8.0,0.0,60.0,3,15.6,13.1161
16,1,21,12.0,1.0,32.0,1.0,120.0,45,15.6,33.3725
1,3,13,2.0,512.0,16.0,0.0,60.0,30,15.0,68.999
4,1,20,11.0,512.0,16.0,0.0,120.0,45,15.6,35.2773
16,1,20,12.0,512.0,16.0,0.0,60.0,14,16.0,18.499
18,5,21,12.0,1.0,16.0,0.0,144.0,54,17.3,41.999
18,1,21,12.0,1.0,32.0,0.0,60.0,21,14.1,26.499
11,1,8,5.0,1.0,16.0,0.0,144.0,58,16.1,33.449
22,5,20,13.0,512.0,12.0,0.0,60.0,13,15.6,16.019
4,1,19,11.0,256.0,8.0,0.0,60.0,16,14.0,9.4037
16,5,21,12.0,512.0,16.0,0.0,60.0,21,15.6,22.199
16,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,24.255
0,1,7,6.0,512.0,16.0,0.0,144.0,45,15.6,25.399
0,1,8,6.0,1.0,32.0,0.0,144.0,49,15.6,37.861
0,5,20,12.0,512.0,8.0,512.0,60.0,14,15.6,16.999
4,1,8,5.0,512.0,32.0,0.0,120.0,3,15.6,18.1501
0,2,7,5.0,512.0,16.0,0.0,144.0,45,15.6,22.699
16,1,7,5.0,512.0,16.0,0.0,60.0,3,15.6,12.999
0,1,21,11.0,512.0,16.0,0.0,144.0,48,15.6,36.625
16,1,17,11.0,256.0,4.0,128.0,60.0,25,15.6,8.5903
16,5,19,11.0,256.0,8.0,0.0,60.0,24,15.6,11.999
4,1,21,13.0,1.0,32.0,0.0,165.0,54,15.6,47.302
2,1,7,5.0,512.0,16.0,0.0,144.0,45,15.6,25.499
16,1,8,7.0,512.0,16.0,0.0,120.0,54,15.6,33.799
2,1,21,11.0,512.0,16.0,0.0,60.0,40,15.6,26.999
11,1,7,3.0,256.0,8.0,256.0,120.0,3,15.6,12.785
16,1,20,11.0,256.0,16.0,0.0,60.0,41,15.6,17.839
2,1,8,7.0,512.0,16.0,0.0,144.0,45,14.0,37.999
18,1,20,12.0,1.0,16.0,0.0,120.0,21,15.6,19.999
16,1,17,13.0,0.0,4.0,1.0,60.0,65,14.0,9.489
16,1,20,12.0,512.0,16.0,0.0,144.0,53,15.6,29.999
4,1,19,11.0,256.0,12.0,0.0,60.0,24,14.0,9.4454
16,5,7,13.0,256.0,8.0,0.0,60.0,3,15.6,12.899
4,5,20,13.0,512.0,16.0,512.0,60.0,21,14.0,23.321
4,2,20,11.0,256.0,8.0,0.0,60.0,21,15.6,12.669
2,1,17,13.0,512.0,8.0,0.0,60.0,24,15.6,9.149
16,5,17,1.0,512.0,4.0,0.0,60.0,25,15.6,8.5876
1,3,10,1.0,256.0,16.0,0.0,60.0,14,13.0,38.999
4,4,19,11.0,256.0,8.0,1.0,60.0,24,14.0,9.8999
2,3,10,13.0,512.0,16.0,0.0,60.0,28,15.6,16.499
18,1,21,12.0,500.0,16.0,0.0,144.0,54,17.3,39.699
6,1,20,11.0,128.0,8.0,0.0,60.0,21,15.6,9.5521
11,5,20,12.0,512.0,8.0,0.0,60.0,43,15.6,18.299
11,1,7,5.0,256.0,8.0,0.0,90.0,3,15.6,10.4
2,5,20,11.0,1.0,16.0,0.0,60.0,21,15.6,18.999
4,1,19,11.0,256.0,8.0,0.0,60.0,24,14.0,9.0691
0,1,21,12.0,1.0,16.0,0.0,165.0,54,15.6,39.999
3,1,20,11.0,500.0,16.0,0.0,60.0,27,15.6,14.999
16,1,21,12.0,512.0,16.0,0.0,60.0,43,15.6,27.999
16,3,10,13.0,512.0,16.0,0.0,60.0,28,15.6,16.0357
0,5,20,10.0,512.0,8.0,0.0,90.0,21,15.6,12.999
16,1,20,11.0,512.0,16.0,0.0,120.0,36,15.6,23.3838
4,1,20,11.0,256.0,16.0,0.0,60.0,40,14.0,13.3077
11,1,7,5.0,1.0,16.0,0.0,60.0,3,15.6,12.0999
2,1,21,10.0,512.0,8.0,500.0,60.0,24,14.0,19.074
0,5,20,11.0,512.0,16.0,0.0,144.0,45,15.6,26.0
2,1,21,13.0,512.0,8.0,0.0,165.0,53,16.0,47.0558
11,1,7,13.0,512.0,8.0,0.0,144.0,36,15.6,25.999
11,5,29,5.0,32.0,36.0,500.0,90.0,42,18.0,12.25
11,1,20,13.0,512.0,16.0,0.0,144.0,45,16.0,27.999
11,1,20,12.0,512.0,8.0,0.0,60.0,14,15.6,15.2999
16,1,7,7.0,512.0,8.0,0.0,60.0,6,15.6,12.447
3,1,21,12.0,500.0,16.0,0.0,144.0,45,15.6,28.199
5,1,17,4.0,256.0,8.0,250.0,60.0,16,15.6,8.5389
19,1,20,12.0,512.0,16.0,0.0,144.0,53,15.6,32.499
16,5,20,12.0,512.0,16.0,512.0,60.0,21,15.6,25.399
2,1,21,12.0,512.0,16.0,0.0,165.0,53,16.0,43.999
19,5,22,13.0,2.0,32.0,0.0,240.0,55,17.3,85.999
1,3,27,13.0,1.0,32.0,0.0,60.0,14,14.0,109.999
2,5,20,11.0,1.0,16.0,0.0,60.0,21,15.6,17.999
11,1,20,13.0,512.0,16.0,0.0,144.0,54,16.1,35.999
16,3,10,13.0,256.0,16.0,0.0,60.0,28,15.6,15.999
16,1,20,11.0,512.0,16.0,0.0,60.0,41,15.6,16.7503
3,1,20,12.0,500.0,32.0,0.0,144.0,54,15.6,34.299
0,5,20,11.0,512.0,8.0,0.0,60.0,43,15.6,17.99
1,3,10,13.0,256.0,16.0,0.0,60.0,28,13.3,39.9
2,1,21,13.0,1.0,16.0,0.0,60.0,14,15.6,24.349
16,1,17,1.0,128.0,4.0,256.0,60.0,25,14.0,8.499
2,5,20,11.0,256.0,8.0,0.0,60.0,24,15.6,12.999
2,5,20,11.0,512.0,16.0,0.0,60.0,21,15.6,17.999
16,1,19,11.0,256.0,4.0,256.0,60.0,16,15.6,9.549
3,5,20,12.0,1.0,16.0,0.0,60.0,21,15.6,19.199
16,1,8,12.0,1.0,16.0,0.0,60.0,3,15.6,13.999
3,1,21,12.0,1.0,64.0,0.0,144.0,54,15.6,39.899
18,1,20,12.0,1.0,32.0,0.0,120.0,21,15.6,23.199
11,1,21,13.0,1.0,32.0,0.0,165.0,54,16.1,50.999
16,5,19,11.0,256.0,8.0,0.0,60.0,13,15.6,10.499
3,1,21,12.0,500.0,32.0,0.0,144.0,54,15.6,36.799
16,1,20,12.0,1.0,16.0,0.0,120.0,58,15.6,29.639
16,1,20,12.0,512.0,8.0,512.0,60.0,24,14.0,14.499
2,5,21,12.0,1.0,16.0,0.0,60.0,24,15.6,24.4334
11,1,20,11.0,512.0,8.0,0.0,60.0,21,15.6,13.5999
23,5,21,6.0,256.0,8.0,256.0,60.0,65,12.5,33.4823
11,1,20,12.0,512.0,8.0,0.0,60.0,14,14.0,21.382
6,1,20,11.0,512.0,8.0,0.0,60.0,21,15.6,10.5921
4,1,19,11.0,256.0,16.0,0.0,60.0,24,14.0,10.1961
2,1,17,13.0,256.0,8.0,0.0,60.0,24,15.6,8.659
2,1,17,5.0,256.0,16.0,0.0,60.0,25,15.6,10.9881
4,4,20,11.0,512.0,16.0,0.0,60.0,21,15.6,15.679
19,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,40.5023
0,3,10,13.0,128.0,16.0,0.0,60.0,28,15.6,7.989
19,1,20,11.0,512.0,16.0,0.0,144.0,44,15.6,25.499
3,1,20,12.0,1.0,16.0,0.0,144.0,36,15.6,25.999
6,1,20,11.0,1.0,16.0,0.0,60.0,21,15.6,12.6111
11,1,20,13.0,512.0,8.0,0.0,60.0,27,15.6,15.499
11,5,21,13.0,1.0,32.0,0.0,144.0,54,16.1,48.2949
11,1,21,13.0,1.0,32.0,0.0,144.0,45,16.1,33.999
0,1,20,12.0,512.0,8.0,0.0,144.0,53,15.6,27.999
2,1,20,12.0,512.0,16.0,0.0,60.0,21,15.6,15.3931
16,1,6,5.0,256.0,8.0,0.0,60.0,3,15.6,9.7179
16,5,7,5.0,256.0,8.0,0.0,60.0,14,14.0,12.9988
19,1,21,11.0,512.0,8.0,0.0,144.0,46,15.6,30.734
4,2,20,13.0,512.0,16.0,0.0,120.0,45,15.6,28.409
11,1,7,5.0,512.0,32.0,0.0,60.0,3,15.6,12.3999
2,5,20,12.0,512.0,8.0,0.0,60.0,24,15.6,16.999
2,1,22,13.0,1.0,32.0,0.0,120.0,53,16.0,49.199
16,1,20,11.0,512.0,16.0,0.0,120.0,45,15.6,24.9311
2,1,21,13.0,1.0,16.0,0.0,60.0,14,15.6,25.499
2,1,20,11.0,1.0,24.0,0.0,60.0,40,14.0,18.899
16,1,20,12.0,1.0,16.0,0.0,60.0,24,15.6,15.6999
10,5,19,10.0,256.0,8.0,256.0,60.0,25,15.6,14.5
13,5,20,13.0,512.0,16.0,0.0,60.0,13,16.0,24.999
16,1,20,12.0,512.0,8.0,0.0,120.0,58,15.6,26.999
11,1,20,13.0,512.0,16.0,0.0,144.0,53,16.1,34.3551
19,5,22,13.0,1.0,32.0,0.0,144.0,55,17.3,73.779
16,1,20,12.0,512.0,16.0,512.0,120.0,46,15.6,24.799
2,5,17,1.0,128.0,4.0,0.0,60.0,14,15.6,7.199
16,1,21,11.0,512.0,16.0,0.0,60.0,21,15.6,19.999
2,1,8,7.0,512.0,8.0,0.0,144.0,53,15.6,30.999
4,4,19,11.0,250.0,12.0,1.0,60.0,24,14.0,9.999
11,1,25,13.0,256.0,16.0,0.0,60.0,14,15.6,12.25
2,1,6,3.0,256.0,4.0,0.0,60.0,65,15.6,10.999
16,1,21,11.0,512.0,16.0,0.0,165.0,58,15.6,36.999
0,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,12.2751
2,1,21,12.0,512.0,16.0,0.0,144.0,45,15.6,32.999
0,1,20,11.0,256.0,8.0,256.0,60.0,42,15.6,14.999
11,1,18,13.0,256.0,8.0,0.0,60.0,14,15.6,13.3935
0,1,20,13.0,512.0,16.0,0.0,60.0,14,15.6,15.699
11,5,21,10.0,512.0,8.0,512.0,60.0,19,13.3,27.499
18,1,21,13.0,1.0,32.0,0.0,165.0,55,16.0,59.999
11,1,20,13.0,512.0,16.0,0.0,144.0,54,16.1,35.199
2,1,21,12.0,1.0,16.0,0.0,144.0,58,15.6,40.549
11,1,8,7.0,1.0,32.0,0.0,240.0,55,16.1,53.899
2,7,32,10.0,256.0,16.0,0.0,60.0,70,15.6,36.1
16,5,17,13.0,128.0,4.0,0.0,60.0,13,14.0,7.499
3,1,22,13.0,2.0,64.0,0.0,165.0,55,16.0,69.999
16,1,19,11.0,512.0,12.0,0.0,120.0,24,15.6,10.8999
11,1,20,11.0,256.0,8.0,0.0,60.0,27,15.6,10.999
1,7,32,10.0,256.0,16.0,0.0,60.0,70,15.6,50.79
16,1,21,12.0,512.0,8.0,0.0,60.0,14,15.6,17.999
16,5,8,5.0,512.0,8.0,0.0,60.0,14,14.0,26.999
11,1,8,7.0,1.0,32.0,0.0,144.0,53,16.1,35.499
6,1,20,11.0,500.0,16.0,0.0,60.0,21,15.6,11.949
2,5,21,13.0,512.0,16.0,500.0,165.0,54,16.0,56.999
16,5,22,11.0,1.0,32.0,0.0,60.0,64,17.3,178.909
2,5,17,13.0,512.0,16.0,0.0,60.0,25,14.0,10.1961
2,1,21,12.0,512.0,16.0,0.0,144.0,45,15.6,33.959
11,1,7,5.0,512.0,16.0,0.0,60.0,3,15.6,13.3649
0,1,20,12.0,2.0,16.0,0.0,144.0,46,15.6,30.0
16,5,20,12.0,512.0,16.0,512.0,60.0,21,14.0,37.999
2,5,20,12.0,0.0,16.0,512.0,60.0,21,14.0,46.2
4,1,20,13.0,256.0,8.0,0.0,60.0,14,15.6,12.199
11,1,8,7.0,512.0,16.0,0.0,144.0,54,16.1,36.999
15,5,21,7.0,256.0,8.0,0.0,60.0,14,15.6,15.6481
2,1,17,10.0,128.0,4.0,0.0,60.0,25,15.6,9.0
0,5,19,3.0,128.0,4.0,0.0,60.0,24,15.6,7.999
1,3,13,2.0,512.0,8.0,512.0,120.0,30,15.0,59.49
1,3,27,13.0,256.0,16.0,0.0,60.0,31,13.6,51.999
11,1,21,12.0,1.0,16.0,0.0,60.0,21,13.3,31.149
16,1,8,7.0,500.0,16.0,0.0,120.0,53,15.6,31.999
0,1,8,7.0,512.0,8.0,0.0,60.0,14,15.6,12.499
2,5,20,10.0,512.0,8.0,512.0,60.0,21,13.3,30.199
3,5,7,5.0,500.0,8.0,500.0,60.0,3,15.6,13.499
2,1,3,10.0,256.0,4.0,0.0,60.0,6,15.6,8.222
6,1,20,11.0,256.0,8.0,0.0,60.0,21,15.6,9.7011
0,1,20,12.0,512.0,8.0,0.0,144.0,45,15.6,23.65
16,5,20,11.0,256.0,8.0,0.0,60.0,40,14.0,13.8818
18,1,21,13.0,1.0,32.0,0.0,240.0,54,17.0,77.099
16,5,7,11.0,512.0,8.0,512.0,165.0,3,15.6,13.929
11,5,8,7.0,512.0,16.0,0.0,60.0,14,15.6,22.199
16,1,20,11.0,1.0,16.0,0.0,120.0,36,15.6,24.4593
11,1,21,13.0,1.0,32.0,0.0,165.0,55,17.3,60.999
4,2,20,13.0,512.0,16.0,0.0,120.0,53,15.6,31.249
18,1,20,12.0,500.0,16.0,0.0,144.0,53,15.6,30.899
11,1,8,7.0,512.0,16.0,0.0,90.0,3,15.6,18.449
19,5,21,12.0,1.0,16.0,0.0,144.0,54,17.3,63.999
4,1,20,12.0,256.0,8.0,0.0,120.0,24,15.6,13.299
4,1,22,13.0,1.0,32.0,0.0,165.0,54,16.0,56.999
18,1,20,13.0,500.0,16.0,0.0,144.0,53,17.3,34.6573
0,5,20,11.0,1.0,24.0,1.0,144.0,45,15.6,28.0
18,1,22,13.0,2.0,64.0,0.0,240.0,55,17.0,97.899
6,1,20,11.0,500.0,32.0,0.0,60.0,21,15.6,13.0171
4,5,21,12.0,1.0,32.0,0.0,60.0,21,15.6,26.7
16,5,20,13.0,512.0,8.0,0.0,60.0,21,15.6,18.499
19,5,22,13.0,2.0,64.0,0.0,165.0,55,17.0,142.659
19,1,21,12.0,512.0,16.0,0.0,144.0,58,17.3,41.999
