marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
0,5,20,13.0,512.0,8.0,512.0,60.0,14,15.6,15.999
11,1,21,13.0,1.0,16.0,0.0,144.0,53,16.1,34.269
19,5,20,12.0,512.0,8.0,0.0,144.0,53,15.6,34.8471
18,1,20,13.0,1.0,32.0,0.0,144.0,45,17.3,32.3033
11,1,19,13.0,512.0,8.0,0.0,60.0,14,14.0,10.889
2,1,20,11.0,512.0,8.0,0.0,144.0,44,15.6,24.75
2,5,20,11.0,1.0,32.0,0.0,144.0,45,15.6,30.6746
16,3,10,13.0,512.0,16.0,0.0,60.0,28,15.6,20.599
18,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,19.499
2,5,20,12.0,512.0,8.0,0.0,60.0,24,15.6,14.899
16,5,20,11.0,512.0,8.0,0.0,165.0,45,15.6,26.6292
19,1,20,11.0,512.0,8.0,0.0,60.0,21,15.6,16.399
2,1,20,12.0,1.0,24.0,0.0,60.0,24,15.6,18.299
11,1,7,5.0,256.0,8.0,0.0,60.0,36,15.6,21.999
16,5,20,11.0,512.0,16.0,0.0,120.0,45,15.6,27.894
18,1,21,12.0,1.0,32.0,0.0,144.0,54,15.6,38.999
3,1,19,11.0,1.0,16.0,0.0,60.0,24,15.6,12.399
19,1,20,12.0,1.0,16.0,0.0,144.0,54,15.6,38.888
19,5,20,12.0,512.0,8.0,0.0,144.0,53,15.6,34.9243
11,1,7,6.0,512.0,8.0,0.0,144.0,46,16.1,24.7241
3,1,21,11.0,500.0,16.0,0.0,60.0,21,15.6,14.9555
0,1,21,12.0,1.0,8.0,0.0,165.0,54,15.6,34.999
16,5,8,5.0,512.0,16.0,0.0,60.0,3,15.6,15.3378
11,1,7,5.0,512.0,16.0,0.0,144.0,10,15.6,22.299
16,1,6,7.0,256.0,8.0,0.0,60.0,3,15.6,9.799
11,1,7,5.0,512.0,16.0,0.0,60.0,3,15.6,11.3999
2,5,20,10.0,512.0,32.0,0.0,60.0,36,15.6,26.1188
3,1,21,12.0,1.0,32.0,0.0,60.0,21,15.6,20.499
2,3,10,13.0,128.0,16.0,0.0,60.0,28,15.6,8.674
0,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,22.49
2,5,20,11.0,1.0,32.0,0.0,144.0,45,15.6,30.1932
18,1,20,12.0,1.0,16.0,0.0,144.0,53,15.6,29.999
16,1,20,12.0,512.0,8.0,0.0,60.0,24,15.6,15.499
2,5,17,13.0,256.0,16.0,0.0,60.0,25,14.0,9.4041
2,5,20,10.0,512.0,8.0,0.0,144.0,36,15.6,26.2332
1,3,14,12.0,1.0,32.0,1.0,120.0,32,14.0,113.3119
1,3,10,3.0,256.0,8.0,250.0,120.0,14,13.3,28.999
2,1,21,12.0,512.0,16.0,0.0,60.0,24,15.6,21.2248
16,5,20,11.0,512.0,8.0,0.0,120.0,36,15.6,24.9321
18,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,34.999
